***                  ***                                       54 3167
***                  ***                                       70 5684
***                  ***                                       84 3178
***                  ***                                       85 5788
***                  ***                                       99 5784
***                  ***                                      151 5287
***                  ***                                      152 7179
***                  ***                                      153 5276
PROPHECY             PROPHECY: THIS WEEK IN BIBLE PROPHECY    155 4555
***                  ***                                      156 2967
***                  ***                                      157 4634
***                  ***                                      158 3684
***                  ***                                      158 5483
***                  ***                                      174 5322
45/85                45/85: 1945-1952                          81    1
45/85                45/85: 1953-1960                          81 1389
45/85                45/85: 1961-1975                          81 2431
45/85                45/85: 1976-1985                          81 3277
ABORTION             ABORTION (20/20)                          19 3440
ARCHEOLOGY           ARCH: SEARCH FOR THE FIRST AMERICANS     145 5312
ARCHEOLOGY           ARCHEOLOGY: DISCOVERY OF NOAH'S ARK      155 2885
BATTLESTAR           BATTLESTAR: LIVING LEGEND                 12 4307
BEAUTY/BEAST         BEAUTY/BEAST: 1ST EPISODE                 48 1276
BEAUTY/BEAST         BEAUTY/BEAST: A GENTLE RAIN               48 4839
BEAUTY/BEAST         BEAUTY/BEAST: A HAPPY LIFE                50 2510
BEAUTY/BEAST         BEAUTY/BEAST: ASHES ASHES                 48 4288
BEAUTY/BEAST         BEAUTY/BEAST: CHINA MOON                  50 3275
BEAUTY/BEAST         BEAUTY/BEAST: DEAD OF WINTER              48 3671
BEAUTY/BEAST         BEAUTY/BEAST: DOWN TO A SUNLESS SEA       50 4736
BEAUTY/BEAST         BEAUTY/BEAST: EVERYTHING IS EVERYTHING    50 5289
BEAUTY/BEAST         BEAUTY/BEAST: GOD BLESS THE CHILD         48 2985
BEAUTY/BEAST         BEAUTY/BEAST: MASQUES                     50 4060
BEAUTY/BEAST         BEAUTY/BEAST: NOR IRON BARS A CAGE        50    1
BEAUTY/BEAST         BEAUTY/BEAST: REMEMBER LOVE               48 2219
BEAUTY/BEAST         BEAUTY/BEAST: SONG OF ORPHEUS             48    1
BEAUTY/BEAST         BEAUTY/BEAST: THOUGH LOVERS BE LOST       88    1
BEAUTY/BEAST         BEAUTY/BEAST: TO REIGN IN HELL            50 1467
BIG VALLEY           BIG VALLEY: 1ST SHOW                      40 4456
BIOGRAPHY            BIOGRAPHY: BILLY MITCHELL                 84  618
BIOGRAPHY            BIOGRAPHY: CHARLES LINDBERGH              81 6766
BIOGRAPHY            BIOGRAPHY: DAYS OF REASON-TRUMAN          81 4107
BIOGRAPHY            BIOGRAPHY: EVA PERON                      84    1
BIOGRAPHY            BIOGRAPHY: FDR-MAN WHO CHANGED AMERICA    81 5288
BIOGRAPHY            BIOGRAPHY: JOSEPH STALIN                  84 1602
BIOGRAPHY            BIOGRAPHY: MARILYN MONROE                 84 2766
BIOGRAPHY            BIOGRAPHY: MARK TWAIN                     84 2405
BIOGRAPHY            BIOGRAPHY: MARTIN LUTHER KING             28 2573
BIOGRAPHY            BIOGRAPHY: NIXON                         146 1270
BIOGRAPHY            BIOGRAPHY: ROSE KENNEDY                   40  871
BIOGRAPHY            BIOGRAPHY: TEDDY ROSSEVELT                84 2020
BIOGRAPHY            BIOGRAPHY: THE KENNEDYS                  145    1
BIOGRAPHY            BIOGRAPHY: WILL ROGERS                    84 1139
BOXING               BOXING: HAGLER VS HEARNS                  26 4493
CARTOONS             CARTONNS: 50 CLASSIC CARTOONS            165    1
CARTOON              CARTOON: BUGS BUNNY                       98 5718
CARTOON              CARTOON: CHARLIE BROWN HALLOWEEN          80 5584
CARTOON              CARTOON: DUCK DOGERS IN THE 24.5 CENTURY  74 5633
CARTOON              CARTOON: GARFIELD HALLOWEEN               67 5586
CARTOON              CARTOON: GARFIELD ON VACATION              8 5122
CARTOON              CARTOON: GREAT PUMKIN CHARLIE BROWN        6 5138
CARTOON              CARTOON: LICKITY SPLIT                    56 5771
CARTOON              CARTOON: OPERATION RABBIT                 47 5738
CARTOONS             CARTOONS: DEATH OF MEL BLANC              62 5748
CARTOONS             CARTOONS: TRIBUTE TO CHUCK JONES          79 4533
CARTOONS             CARTOONS: TRIBUTE TO MEL BLANC            79 5197
CHURCHILL            CHURCHILL-THE WILDERNESS YEARS            33 3099
CIVIL AND THE JEWS   CIVIL AND THE JEWS: INTO THE FUTURE       12 2021
CIVIL WAR            CIVIL WAR                                101    1
CIVIL WAR            CIVIL WAR                                102    1
CLIMATE              CLIMATE: ARTIC HAZE                      103 3550
CLIMATE              CLIMATE: BAD WEATHER/WINTER 88-89 (NEWS)  64 5745
CLIMATE              CLIMATE: GIAI-GODDESS OF THE EARTH        57 3631
COMEDY               COMEDY: JOSH ASKEW                        47 5660
COMEDY               COMEDY: LAUGH-IN 25TH ANNIVERSARY        152 2114
COMEDY               COMEDY: MARK RUSSEL SPECIAL (6/89)        40 5290
COMEDY               COMEDY: MARK RUSSEL-12/89                 35 5427
COMEDY               COMEDY: ONE NIGHT STAND WITH RITA RUDNER  80 5290
COMERCIAL            COMERCIAL: MCDONALD'S                     30 5735
CONSTITUTION         CONSTITUTION: RIGHT TO KNOW VS DEFENSE    14 1620
CONSTITUTION         CONSTITUTION: RIGHT TO LIFE               14 4149
CONSTITUTION         CONSTITUTION: WAR POWERS ACT               8 4459
CRIME INC            CRIME INC: 01-ALL IN THE FAMILY           60    1
CRIME INC            CRIME INC: 02-MAKING OF THE MOB           60 1312
CRIME INC            CRIME INC: 03-RACKET BUSTERS              60 2283
CRIME INC            CRIME INC: 04-BIRTHRIGHT OF GANGSTERS     60 3104
CRIME INC            CRIME INC: 05-MOB AT WORK                 60 3840
CRIME INC            CRIME INC: 06-MAKE IT LEGIMATE            60 4480
CRIME INC            CRIME INC: 07-OLD MOB AND NEW             60 5065
CULTS                CULTS: CATHOLICISM-CRISIS OF FAITH       148    1
CULTS                CULTS: CHANNELING                         12 5477
CULTS                CULTS: DEMON POSSESION/HAUNTED HOUSE      70 4066
CULTS                CULTS: DEMONIC POSSESSION                128 5758
CULTS                CULTS: ELVIS MYSTICISM                    65 5845
CULTS                CULTS: GODMAKERS II                      161    1
CULTS                CULTS: L.RON HUBBARD INT.                 70 1469
CULTS                CULTS: LIZ CLAIR PROPHET                  70 4580
CULTS                CULTS: LIZ CLAIRE PROPHET                 70 4820
CULTS                CULTS: LIZ PROPHET (KING)                115 2341
CULTS                CULTS: MCCLAINES SPIRITUAL WORKOUT        70 2576
CULTS                CULTS: MCCLAINES' CAMP                    70 3909
CULTS                CULTS: MEDIUMS R US                       70 2605
CULTS                CULTS: NOSTRADAMOS UPDATE                115    1
CULTS                CULTS: RAMTHA                             16 5361
CULTS                CULTS: REV MOON (FRONTLINE)              122 4187
CULTS                CULTS: SATAN WORSHIP (20/20)              21 3936
CULTS                CULTS: SATAN WORSHIP (RIVERA)             64 4429
CULTS                CULTS: SATAN WORSHIP IN PRISON            70 5476
CULTS                CULTS: TEMPLE OF THE GODMAKERS            66 5609
CULTS                CULTS: UNIVERSALISM                        8 5383
CULTS                CULTS: UNIVERSALISM (AM SF)                6 5440
DC FOLLIES           DC FOLLIES                                32 5505
DC FOLLIES           DC FOLLIES                                42 5472
DC FOLLIES           DC FOLLIES                                44 5436
DEBATE               DEBATE: MADISON VS HENRY (CROSSFIRE)      77 5506
DEBATE               DEBATE: MORALITY IN COMBAT                71    1
DEBATE               DEBATE: OXFORD-MORALITY OF NUKES          27  146
DEBATE               DEBATE: TRUST SOVIET PEACE INITIATIVE    110 4228
DEEP SPACE 9         DEEP SPACE 9: EMMISSARY                  153 4126
DINASOURS            DINASOURS: T.REX (NOVA)                  107 5235
DOC                  DOC: BETRAYAL OF DEMOCRACY               138 3617
DOC                  DOC: THE FOURTH REICH                    121  633
DS                   DS:                                       24    1
DS                   DS: 10 TRIBES                              1    1
DS                   DS: CONNECTION-EYGPT/BRITIAN/IRELAND      11 4834
DS                   DS: DR. SCOTT INTERVIEW                    7 4437
DS                   DS: EMPIRES AND THE ANTI-CHRIST           24 3857
DS                   DS: EYGPTIAN ORIGINS                      11    1
DS                   DS: EZRA                                   1 2960
DS                   DS: FERMAMENT                              3 3685
DS                   DS: GIDEON                                11 5217
DS                   DS: GOSPEL IN THE STARS                   11 2975
DS                   DS: HISTORICAL SUMMARY                    10    1
DS                   DS: HITLER AND SPEAR OF DESTINY           10 3632
DS                   DS: IRELAND'S ORIGINS                     11 4049
DS                   DS: JEREMIAH AND LOST TRIBES              16 1409
DS                   DS: JESUS AND BRITIAN                      3 4962
DS                   DS: JONAH                                 16    1
DS                   DS: LAST DAYS                              3 1734
DS                   DS: NEPHATI                               10 2882
DS                   DS: POWER OF GOD                           3    1
DS                   DS: POWER OF GOD                           3 4752
DS                   DS: PYRAMID                                1 1786
DS                   DS: PYRAMID                                1 2909
DS                   DS: PYRAMID                                1 4029
DS                   DS: PYRAMID                                3 5152
DS                   DS: RESURRECTION                           3 2984
DS                   DS: RUSSIA AND BABYLON                    10 5153
DS                   DS: RUSSIAN ORGINS                        10 1437
DS                   DS: STORY OF JACOB                        11 1923
DS                   DS: TEMPLARS                               3  249
DS                   DS: TEMPLE AND JESUS CHRIST                1 4988
DS                   DS: TILL I COME                            1 3976
DS                   DS: XMAS MESSAGE                          16 3990
EAGLE/BEAR           EAGLE/BEAR-GLASNOST                       81 6288
EINSTEIN             EINSTEIN: HOW I SEE THE WORLD            115 4345
EVOLUTION            EVOLUTION                                 34 1484
EVOLUTION            EVOLUTION: APE MAN-MONKEY BUSINESS CALLE 130    1
EVOLUTION            EVOLUTION: CREATION OF UNIVERSE           14 4853
EVOLUTION            EVOLUTION: DARWIN ON TRIAL               100 5569
EVOLUTION            EVOLUTION: DAWN OF MAN                    91 4912
EVOLUTION            EVOLUTION: FASINATING DESIGN-EVIDENCE FO 131    1
EVOLUTION            EVOLUTION: GOD/DARWIN AND DINOSAURS       66 4970
EVOLUTION            EVOLUTION: MYSTERY OF MANKIND (NAT GEO)   43 5003
EVOLUTION            EVOLUTION: SCOPES II (BUCKLEY)            33 3925
EVOLUTION            EVOLUTION: SCOPES II (NEWS)               28 5739
EXERCISE             EXERCISE: BUNS OF STEEL                  173    1
EXERCISE             EXERCISE: TUMMY AND THIGHS               166    1
F-POLICY             F-POLICY: MORALITY OF US/USSR FP'S         8 3069
F-POLICY             F-POLICY: NAVAL AVAITION AND US POLICY    40 1865
F-POLICY             F-POLICY: SEC.'S OF STATE                 34 2948
F-POLICY             F-POLICY: US TOWARD ISRAEL AND SAUDI A.  132 1477
FILLER               FILLER: VEGAS SHAME                       99 5760
GEOLOGY              GEOLOGY: THE WORLD IS FULL OF OIL (NOVA)  71 4445
GOLDEN GATE          GG BRIDGE: COLOSSES OF THE GOLDEN GATE    94 5529
GOLDEN GATE          GG BRIDGE: SPAN OF GOLD                    9 5514
GLORY/POWER          GLORY/POWER: FIGHTING BACK               135    1
GLORY/POWER          GLORY/POWER: REMAKING THE WORLD          135 4340
GLORY/POWER          GLORY/POWER: THIS IS OUR LAND            135 1557
GOD AND POLITICS     GOD/POLITICS: 01 THY KINGDOM COME         66    1
GOD AND POLITICS     GOD/POLITICS: 02-BATTLE FOR THE BIBLE     66 2051
GOD AND POLITICS     GOD/POLITICS: 03-ON EARTH AS IS IN HEAVE  66 3013
GORBYS USSR          GORBYS USSR: COMFORTABLE LIES BITTER TRU  95 2044
GORBYS USSR          GORBYS USSR: COMING APART                 95 4588
GORBYS USSR          GORBYS USSR: LOOKING FOR PERESTROIKA      95 3450
GORBYS USSR          GORBYS USSR: TASTE OF DEMOCRACY           95    1
GULF WAR             GULF WAR: BRINK OF WAR (FRONTLINE)       104 2939
GULF WAR             GULF WAR: MCLAUGHLIN 1/18/91             123    1
GULF WAR             GULF WAR: MCLAUGHLIN 1/25/92             123  895
GULF WAR             GULF WAR: MCLAUGHLIN 2/1/92              123 1542
GULF WAR             GULF WAR: MCLAUGHLIN 2/15/92             123 2603
GULF WAR             GULF WAR: MCLAUGHLIN 2/22/92             123 3062
GULF WAR             GULF WAR: MCLAUGHLIN 2/8/92              123 2121
GULF WAR             GULF WAR: MCLAUGHLIN 3/1/92              123 3476
GULF WAR             GULF WAR: WHAT DID AMERICAN WIN?         146    1
HISTORY              HISTORY: CHERNENKO FUNERAL                20 5603
HISTORY              HISTORY: CUBAN MISSLE CRISIS             138 5115
HISTORY              HISTORY: CUBAN MISSLE CRISIS             151 3534
HISTORY              HISTORY: DECADE OF THE 1980'S             76 5234
HISTORY              HISTORY: DEMOCRAT AND THE DICATOR         79 2264
HISTORY              HISTORY: FALL OF CEACASESUS              104 4420
HISTORY              HISTORY: FINDING OF BISMARK               68 5795
HISTORY              HISTORY: ISRAEL-WHAT PRICE VICTORY?       41    1
HISTORY              HISTORY: JACK THE RIPPER                  49 2525
HISTORY              HISTORY: KISSINGER INTERVIEW (12/89)      15 5317
HISTORY              HISTORY: MCLAUGHLIN AND THE 1990'S        15 4667
HISTORY              HISTORY: NUCLEAR STRATEGY (NOVA)           7    1
HISTORY              HISTORY: OUR WORLD-FALL/1938              41 3938
HISTORY              HISTORY: REAGAN'S MAGIC                   36 5078
HISTORY              HISTORY: SOVIET DISUNION                  71 5661
HISTORY              HISTORY: SPY MACHINES (NOVA)              49    1
HISTORY              HISTORY: TIANEMNET SQUARE                 77 4996
HISTORY              HISTORY: TV AND HISTORY                   45 4443
HISTORY              HISTORY: WHO KILLED BOB CRANE             93 5597
ICE SKATING          ICE SKATING                               27    1
IRAN/CONTRA          IRAN/CONTRA-8/5/91                       104 5616
IRAN/CONTRA          IRAN/CONTRA-OCT. SURPRIZE                104 3803
JFK ASS              JFK ASS: BEST EVIDENCE                   106    1
