1
 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 
 
 951001   1     3     1          0.90       97.15       98.05          0.30
 951001   2     4     2          0.48       71.85       72.33          1.20
 951001   3     3     1          0.77       37.17       37.35          0.67
 951001   4     3     3          1.07       71.07       72.13          1.75
 951001   5     4     3          1.07       71.07       72.13          1.60
 951001   6     6     2          0.97       88.63       89.60          0.18
 951001   7     8     2          0.60       76.32       76.63          0.55
 951001   8     7     4          0.97      107.18      108.15          0.95
 951001   9     8     3          0.45      125.95      126.40          0.97
 951001  10     6     2          0.52      121.95      122.47          0.35
 951001  11     3     2          0.52      121.17      121.68          0.07
 951001  12     6     3          0.88      163.05      163.93          1.05
 951001  13     4     1          0.72       50.15       50.78          0.28
 951001  14     5     3          2.02       43.40       45.42          2.05
 951001  15     7     3          3.18      229.03      230.50          1.93
 951001  16     3     2          2.03       80.40       82.43          1.88
 951001  17     2     2          2.03       80.40       82.43          2.00
 951001  18     3     3          2.75       97.27      100.02          2.20
 951001  19     3     3          2.72      223.50      226.22          2.00
 951001  20     3     3          4.57      226.42      230.98          1.53
 951001  21     2     2          1.90      113.07      114.97          1.05
 951001  22     1     1          1.23       52.47       53.70          1.00
 951001  23     3     2          2.20      110.13      112.33          1.42
 951001  24    12    10          2.60      381.82      384.42          5.15
1
 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 
 
 951002   1    17    12          2.92      594.87      597.52         10.10
 951002   2    29    18          3.72      509.52      512.45         14.72
 951002   3    28    21          3.42      410.08      412.88         16.60
 951002   4    22    13          3.47      251.28      254.13         11.73
 951002   5    22    14          3.33      291.10      294.43         12.93
 951002   6    28    17          5.35      409.53      414.88         13.82
 951002   7    33    18          6.07      576.72      582.42         15.87
 951002   8    47    21          6.40      582.08      588.48         17.03
 951002   9    73    49         11.27     1200.98     1211.12         35.83
 951002  10    75    51         12.07     1042.53     1050.73         44.18
 951002  11    59    38          9.00     1039.92     1048.03         31.72
 951002  12    39    30          6.48      798.27      803.32         26.65
 951002  13    56    38          7.15      904.58      911.73         33.43
 951002  14    87    40          7.22      976.82      982.07         34.23
 951002  15   100    46         10.75     1744.80     1750.15         38.52
 951002  16    86    44          6.83     1671.85     1677.05         38.00
 951002  17    84    39         15.05     1315.55     1320.93         34.78
 951002  18    64    36         15.02     1049.90     1064.65         26.88
 951002  19    50    29          7.65      928.15      935.67         26.20
 951002  20    39    23          6.63      626.00      631.45         18.47
 951002  21    34    18          5.87      554.97      560.83         12.63
 951002  22    29    17          5.87      633.93      639.80         12.80
 951002  23    19    15          4.22      567.02      569.75          9.45
 951002  24    17    12          2.48     1073.52     1074.95          9.43
1
 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 
 
 951003   1    26    15          2.48     1236.98     1238.68         11.72
 951003   2    20    13          2.47     1046.55     1049.02          9.78
 951003   3    11    11          1.97      952.88      954.85         10.08
 951003   4    22    13          2.97      570.33      573.30         10.57
