rotary~ 22/782-9329        ~0000002040~1 ~016~L~                    ~Y~N~Y~A ~002435~01/01/92~ ~00
rotary~ 31/453-2002        ~0000012161~1 ~016~I~ROTTER 300-2400     ~Y~N~N~A ~057871~01/01/92~ ~00
rotary~ 71/489-8571        ~0000011223~1 ~008~M~                    ~Y~N~Y~A ~054682~05/09/90~ ~00
rotary~(33) 78 47 81 44    ~0000010404~1 ~024~M~LYON-PUBLIC         ~Y~N~N~A ~068570~01/01/92~1~01
rotary~(33) 78 47 81 44    ~0000002452~1 ~024~M~LYON-PUBLIC         ~Y~N~N~A ~068570~01/01/92~1~01
rotary~(34) 1 319 2316     ~0000012423~1 ~016~M~MADRID PUBLIC       ~Y~N~Y~A ~060842~01/01/92~1~01
rotary~(34) 1 766 1900     ~0000013643~1 ~012~L~MADRID              ~Y~N~Y~A ~066735~01/01/92~1~01
rotary~(46) 8 29 47 82     ~0000004146~1 ~025~L~                    ~Y~N~Y~UG~107279~10/08/92~1~01
rotary~DU/101977/001/00001 ~0000005571~  ~008~ ~BOLOGNA             ~Y~N~Y~P ~101977~08/10/92~1~01
rotary~DU/101978/004/00001 ~0000003146~  ~008~L~JACKSON 9600        ~Y~N~Y~P ~101978~07/21/92~3~01
rotary~DU/102059/001/00001 ~0000003520~  ~008~M~ALBANY 9600         ~Y~N~Y~P ~102059~07/21/92~3~01
rotary~DU/102068/001/00001 ~0000011755~  ~008~M~KNOXVILLE           ~Y~N~Y~P ~102068~08/11/92~3~01
rotary~DU/102101/003/00001 ~0000004771~  ~008~M~NASHUA 9600         ~Y~N~Y~P ~102101~09/30/92~3~01
rotary~DU/102215/004/00001 ~0000005345~  ~008~M~TOLEDO 9600         ~Y~N~Y~P ~102215~09/18/92~3~01
rotary~DU/102327/001/00001 ~0000012320~  ~008~M~KALAM3PI            ~Y~N~Y~P ~102327~08/12/92~3~01
rotary~DU/102352/012/00001 ~0000005675~  ~008~ ~VILLENEUVE D'ASCQ   ~Y~N~N~P ~102352~08/06/92~1~01
rotary~DU/102356/012/00001 ~0000005766~  ~008~ ~STRASBOURG          ~Y~N~N~P ~102356~08/06/92~1~01
rotary~DU/102448/002/00001 ~0000005473~  ~024~ ~COLOGN              ~Y~N~N~P ~102448~09/07/92~1~01
