"Node" "Sync" "SIO" "ASYNC" "2400" "Slots" "Consat" "T3270 " "H3270" "CMT" "SNA" "Tymcomm" "SDLC" "HASP" "X25" "MinXCNT" "MINXLP" "Delay" "CpsIN" "CpsOUT" "Sessions" "Chars" "Connect" "MaxCPS"
 7361  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 5223  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 4613  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10331  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10362  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10005  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10312  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10267  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 6606  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 4701  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 4365  1  0 16 0  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 6003  1  0 16 0  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10145  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 2417  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 4735  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 2551  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10255  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 5030  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 2255  1  0 16 0  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 2550  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10146  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 6747  1  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10220  1  1 16 1  4  1  0  0  1  1  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10004  1  1 16 1  4  1  0  0  1  0  0  0  0  1    0    0      0      0      0      0        .0      .00      0 
 7365  2  0 16 1  3  1  0  0  1  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 5323  2  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 2702  2  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10042  2  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0     11  127119.0     1.80      0 
 6725  2  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10021  2  1 16 1  3  1  0  0  0  0  0  0  0  1    0    0      0      0      0      0        .0      .00      0 
 3137  2  1 16 0  6  1  0  0  0  0  0  0  0  1    0    0      0      0      0      0        .0      .00      0 
 5577  3  0 16 0  3  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 5324  3  0 16 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10130  4  0 16 2  3  1  0  0  0  0  0  0  0  0    0    0      0      0      0      8  122578.0     1.10      0 
 6174  4  0 16 0  4  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10041  4  0 16 1  4  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10126  1  0 32 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 7031  1  0 32 1  3  1  0  0  0  0  1  0  0  0    0    0      0      0      0      0        .0      .00      0 
 7210  1  7 32 1  5  2  0  0  0  0  0  2  0  0    0    0      0      0      0      0        .0      .00      0 
10056  2  0 32 1  3  2  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
10157  3  0 32 1  4  1  0  1  1  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 2675  3  0 32 1  2  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 2233  4  1 48 1  4  1  0  0  0  0  1  0  0  1    0    0      0      0      0      0        .0      .00      0 
10166  3  0 64 1  3  1  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 4065 10  0 64 1  5  2  0  0  0  0  0  0  0  0    0    0      0      0      0      0        .0      .00      0 
 5614  4 10 ** 1  5  1  0  0  0  0  0  0  0  2    0    0      0      0      0      0        .0      .00      0 
 4551  1  4 64 4  6  1  0  0  0  0  0  0  0  3   12    0      0    221     63     35  656704.0     9.40    221 
 2104  2  0 32 1  2  1  0  0  0  0  0  0  0  0   15    0      9    342    339      0        .0      .00    342 
 4765  8  2 32 4  7  1  0  0  0  0  1  0  0  2   17    0     19    718    510     18  682767.0     4.70    718 
 3260 10  0 32 1  5  1  0  0  0  0  0  0  0  0   22    0      5    156     45      0        .0      .00    156 
 5221  9  0 16 1  5  1  0  0  0  0  0  0  0  0   25    0      0      3      3      0        .0      .00      3 
 4417  3  3 48 2  5  2  0  1  0  0  0  0  0  1   28    0     27    697    362    142 1444168.0    17.00    697 
 4373  5  0 48 1  6  1  0  2  1  0  1  0  0  0   30    0      1     24     83     14  245494.0     4.30     83 
 5214  6  0 64 1  7  2  1  0  0  0  0  0  0  0   31    0     23    569    309     62  839129.0    14.00    569 
 2647  6  2 64 1  8  1  0  0  0  0  1  0  0  2   33    0      0    372     83      0        .0      .00    372 
 3057 10  0 64 1  5  1  0  0  0  0  0  0  0  0   35    0     26    713    479      0        .0      .00    713 
 3140 14  0 64 1  4  1  0  0  0  0  0  0  0  0   35    0     59   1303   1107      0        .0      .00   1303 
 6144  4  0 64 4  5  1  0  1  1  0  0  0  0  0   38    0     18    657    275     29  288658.0     5.10    657 
 6102  6  0 16 1  6  1  0  1  0  0  0  0  0  2   40    0     11    130    443      0        .0      .00    443 
 4236  3  0 16 2  7  2  0  1  1  0  0  0  0  0   41    0      0    360     59      0        .0      .00    360 
 2563 11  0 64 1  8  1  1  0  0  0  0  0  1  1   41    0     26    762     72      8  527177.0     1.00    762 
 3415  7  0 64 1  7  2  0  0  0  0  0  0  0  0   42    0      0    378    190    136  755606.0    12.20    378 
 2735  4  2 32 4  6  1  1  0  0  0  0  0  0  2   45    0      3     63    134      0        .0      .00    134 
 2034 10  7  0 1  7  1  1  1  0  0  0  0  0  2   46    0     25    822    397      0        .0      .00    822 
 2362  3  6 16 1  6  1  0  0  0  0  0  0  0  4   46    0     13    196    208      0        .0      .00    208 
 2366  9  0 64 1  3  1  0  0  0  0  0  0  0  0   47    0      0    508     81      0        .0      .00    508 
 2475  4  1 64 1  6  1  0  1  1  0  0  0  0  1   48    0      9    246    119      1   39077.0      .10    246 
 5725  5  0 16 1  5  1  0  1  0  0  0  0  1  0   49    0      7    110    110      0        .0      .00    110 
 3724  4  0 32 2  6  1  1  1  1  0  0  0  0  0   49    0      0    305    290      0        .0      .00    305 
 2741  6  3 32 1  5  1  0  0  0  0  1  0  0  2   49    0     15    293    776      4  186604.0     1.50    776 
 4667  5  1 32 2  6  1  0  0  0  0  0  0  0  1   50    0     18    444    391     16  471311.0     7.60    444 
 2437  9  2 32 1  6  1  0  0  0  0  0  0  0  1   50    0     44   1134    568      0        .0      .00   1134 
 4366  2  4 48 1  5  1  0  0  0  0  1  0  0  2   50    0     16     22    760      1    5764.0      .30    760 
 3735  3  2 32 1  7  1  0  2  0  0  0  0  0  0   54    0      5    115     34      0        .0      .00    115 
 5245  2  0 64 4  5  1  0  0  0  0  0  0  0  0   54    0     35    887    200     40 1772468.0    15.20    887 
 6142  4  0 64 4  5  1  0  1  1  0  0  0  0  0   54    0     24    729     80     17  172055.0     8.00    729 
 3560  7  6 32 1  5  1  0  0  0  0  0  0  0  1   55    0     29    638    825      0        .0      .00    825 
 3211  4  1 64 1  4  1  0  0  0  0  0  0  0  1   55    0     11    255     28      0        .0      .00    255 
 4703  4  1 16 4  5  1  0  1  1  0  0  0  0  1   57    0      6    128    145     11  430220.0     2.10    145 
 3200  3  3 16 4  6  1  0  1  0  0  0  0  0  3   58    0      0    144    478      9  176020.0     2.00    478 
 6231  2  3 32 4  5  1  0  0  0  1  0  0  0  2   58    0     19    446     54     32 1382405.0    15.60    446 
 6713  2  0 16 1  2  1  0  0  0  0  0  0  0  0   59    0      3    121    179      0        .0      .00    179 
 4304  2  2 16 4  6  1  0  0  0  0  0  0  0  2   62    0     18    272    440     12 2493457.0     3.90    440 
 2035  2  1 32 4  4  1  0  0  0  0  0  0  0  1   62    0     36    869    214     34  967966.0    10.50    869 
 5343  4  0 64 1  3  1  0  0  0  0  0  0  0  0   65    0      0    441    362      0        .0      .00    441 
 3267  3  3 32 4  6  1  0  0  0  0  0  1  0  2   68    0      7    154    200      0        .0      .00    200 
 4426 12  2 16 1  5  1  0  0  0  0  0  0  0  2   69    0     45    672    624      0        .0      .00    672 
 5507  4  0 32 4  6  1  0  1  1  0  0  0  0  0   69    0      7    117    171     75   14489.0     2.00    171 
 3114  4  0 32 4  5  1  0  1  0  0  0  0  0  0   69    0     14    294     17      8  521713.0     2.90    294 
 4321  3  2 32 4  6  1  1  0  0  0  0  0  0  2   70    0     12    279    551     15  318608.0     3.30    551 
 2734  6  0 64 1  6  2  0  0  0  0  0  0  0  0   70    0     14    547    383      0        .0      .00    547 
 4334  5  0 32 2  4  1  0  0  0  0  0  0  0  0   74    0      0    486    392      6   91027.0     2.40    486 
 4552  2  3 16 4  6  1  0  0  0  0  0  0  0  3   75    0      9     97    325     14  435664.0     2.20    325 
 4462  2  0 64 4  5  1  0  0  0  0  0  0  0  0   75    0     45   1167    483    102 8286723.0    26.40   1167 
 2717  6  2 64 1  2  1  0  0  0  0  0  0  0  0   75    0     28    532    221      0        .0      .00    532 
 5613  4 10 ** 1  5  2  0  0  0  0  0  0  0  2   76    0      0      1      1      0        .0      .00      1 
 6441  3  0 32 4  4  1  0  1  1  0  0  0  0  0   77    0     10    224     65     23  363527.0     3.50    224 
 5320  4  0 48 4  6  1  1  1  1  0  0  0  0  0   77    0      2      5     76     13     561.0     4.00     76 
 2367  6  0 64 1  3  1  0  0  0  0  0  0  0  0   77    0     26    769    413      0        .0      .00    769 
 2225  5  0 16 4  5  1  2  0  0  0  0  0  0  0   79    0     29    525    304     23  291073.0     3.80    525 
 2461  2  0 48 1  3  1  0  0  0  0  1  0  0  0   79    0     14    350    218    202  987657.0    19.30    350 
 3646  2  1 16 1  5  1  0  1  1  0  0  0  0  1   81    0      1     23    156      7  159342.0     1.00    156 
 2160  2  0 32 2  4  1  0  0  0  0  0  0  0  0   82    0      0    381     15     22  914521.0     6.90    381 
 5204  4  0 64 1  4  1  0  0  0  0  0  0  0  0   82    0     21    486    270      0        .0      .00    486 
 6615  4  0 16 1  4  1  0  0  0  0  0  0  0  0   84    0     34   1231   1284      0        .0      .00   1284 
 5344  9  0 32 1  3  1  0  0  0  0  0  0  0  0   85    0      0    603    174      0        .0      .00    603 
 2500  8  1 64 1 10  1  0  0  0  0  1  0  0  1   86    0      8    163    205      0        .0      .00    205 
 3565 10  0 64 1  5  2  0  0  0  0  0  0  0  0   86    0     14    260     90     44 1744159.0    21.50    260 
 3736  3  0 48 4  5  1  1  0  0  0  0  0  0  0   87    0     15    286     58      0        .0      .00    286 
 6351  5  0 48 1  2  1  0  0  0  0  0  0  0  0   88    0     25    638    518     16  438050.0     3.60    638 
 3224  4  0 64 1  4  1  0  0  0  0  0  0  0  0   91    0     37    866    649      0        .0      .00    866 
 2473  2  1 32 1  6  1  0  0  0  0  0  0  0  1   92    0      0    256     15     25  571710.0     5.80    256 
 2377  3  2 32 1  5  1  0  0  0  0  0  0  0  2   92    0     11    146    450     12   19665.0     6.00    450 
 7411  7  0 16 1  2  1  0  0  0  0  0  0  0  0   93    0      9    279    292      0        .0      .00    292 
 2324  6  2 48 1  6  1  0  0  0  0  0  0  0  0   94    0     56    814    805      9  119436.0     2.90    814 
 4444  3  2 16 1  6  1  0  0  0  0  0  0  0  2   95    0      3     66     14      9  294058.0     1.40     66 
 4021  1  0 16 1  2  1  0  0  0  0  0  0  0  0   96    0     20    399     18      9  201150.0     1.40    399 
 6464  2  1 16 1  4  1  0  0  1  1  0  0  0  0   96    0      1     11     23      7  122997.0      .80     23 
 4361  3  1 32 4  5  1  0  0  0  0  0  0  0  1   96    0      0    462    310     40  328662.0     6.20    462 
 5477  4  0 16 4  4  1  0  1  0  0  0  0  0  0   98    0     13    255    261    103   21665.0     4.10    261 
 6301  2  2 16 1  4  1  0  0  0  0  0  0  0  2  100    0     13    321    208     13  258987.0     3.30    321 
 2700 10  0 32 1  6  1  1  0  0  0  1  0  0  0  101    0      4     67    210      0        .0      .00    210 
 4203  2  0 64 4  5  1  0  0  0  0  0  0  0  0  101    0     28    661    215     38 1367753.0    10.80    661 
 4275  4  2 16 1  4  1  0  1  0  0  0  0  0  1  102    0     22    401    402      0        .0      .00    402 
 5605  2  0 32 4  4  1  0  0  0  0  0  0  0  0  102    0      0      0      1      0        .0      .00      1 
 3141  3  0 64 1  5  1  0  0  0  0  1  0  0  0  102    0      0    296    116      0        .0      .00    296 
 3017  5  1 64 1  3  1  0  0  0  0  0  0  0  1  106    0     10    161     96     36  345385.0     3.30    161 
 3246  2  0 48 1  3  1  0  0  0  0  1  0  0  0  107    0      6    173     75     74  534554.0    10.20    173 
