NORRISTOWN
----------
 
DATE
----
871119
871120
871121
871122
871123
871124
871125
871126
871127
871128
871129
871130
                 LOGINS                          CONNECT TIME (HOURS)
    ---------------------------------- ----------------------------------------
 HR BAND0 BAND1 BAND2 BAND5     ROTARY  BAND0  BAND1  BAND2  BAND5       ROTARY
 -- ----- ----- ----- ----- ---------- ------ ------ ------ ------ ------------
  1     0     0    18   777        795   0.00   0.00   0.23  12.26        12.49
  2     0     0    10   709        719   0.00   0.00   0.53  12.26        12.79
  3     0     0     5   475        480   0.00   0.00   0.13   9.83         9.96
  4     0     0     0   512        512   0.00   0.00   0.00   8.03         8.03
  5     0     0     0   494        494   0.00   0.00   0.00   8.22         8.22
  6     0     0     2   472        474   0.00   0.00   0.01   8.86         8.87
  7     0     0     0   455        455   0.00   0.00   0.00   6.45         6.45
  8     0     0     0   412        412   0.00   0.00   0.00   4.09         4.09
  9     0     0     0   245        245   0.00   0.00   0.00   1.70         1.70
 10     0     0     0     9          9   0.00   0.00   0.00   0.16         0.16
 11     0     0     0   104        104   0.00   0.00   0.00   2.51         2.51
 12     1     0     0     5          6   0.10   0.00   0.00   0.04         0.14
 13     0     0     3     7         10   0.00   0.00   0.91   0.07         0.99
 14     0     0    21    22         43   0.00   0.00   1.02   0.53         1.54
 15     2     0    17   665        684   0.01   0.00   0.95   6.72         7.69
 16     0     0    35  1082       1117   0.00   0.00   1.57  12.26        13.82
 17     0     0    42  1168       1210   0.00   0.00   1.83  16.55        18.37
 18     6     0    25  1179       1210   0.07   0.00   1.52  21.30        22.89
 19     1     0    32  1182       1215   0.01   0.00   1.16  18.04        19.20
 20     2     0    48  1203       1253   0.01   0.00   1.86  19.33        21.20
 21     1     0    37  1167       1205   0.01   0.00   2.21  16.44        18.65
 22     3     0    24  1187       1214   0.02   0.00   1.29  16.53        17.84
 23     2    34    19  1209       1264   0.01   0.45   0.79  19.88        21.13
 24     0   121     9  1199       1329   0.00   2.50   0.15  16.60        19.25
  1     2   129     5  1193       1329   0.01   2.27   0.12  16.33        18.73
  2     5   103    10  1170       1288   0.08   1.81   0.07  14.92        16.87
  3     1   101     6  1105       1213   0.01   0.87   0.04  11.68        12.60
  4     0    99     0  1102       1201   0.00   0.70   0.00  11.70        12.41
  5     0   103     0  1100       1203   0.00   1.14   0.00  12.19        13.33
  6     0    64     0  1069       1133   0.00   0.43   0.00  14.69        15.11
  7     0     8     0  1050       1058   0.00   0.05   0.00  11.75        11.79
  8     5     1     0   874        880   0.14   0.01   0.00   9.26         9.41
  9    15     1     0   772        788   0.28   0.01   0.00   4.80         5.09
 10     1     0     0   326        327   0.27   0.00   0.00   2.04         2.31
 11     4    13     3   115        135   0.11   0.09   0.25   2.14         2.59
 12   126   460   313    11        910   1.00   3.30   2.82   0.08         7.20
 13   206   706   542     7       1461   3.43   8.80   7.44   0.09        19.76
 14   617  1043   751    17       2428   8.64  20.61  22.03   0.51        51.78
 15   629  1125  1046   571       3371   9.71  24.98  25.85   6.75        67.30
 16   660  1347  1684   993       4684  12.91  22.48  30.82  15.39        81.60
 17   663  1186  1718  1166       4733  12.78  30.10  35.24  18.81        96.93
 18   611  1091  1558  1199       4459   8.52  21.94  24.31  19.63        74.39
 19   657  1131  1628  1151       4567  11.64  22.56  24.86  15.01        74.07
 20   658  1184  1707  1577       5126  11.00  28.31  31.47  23.81        94.59
 21   665  1214  1751  1557       5187  11.43  26.83  34.41  17.76        90.43
 22   648  1136  1658  1552       4994  10.70  23.79  29.56  19.12        83.18
 23   561  1008  1467  1568       4604   4.59  14.30  16.57  17.78        53.24
 24   564   962  1402  1429       4357   5.01  12.26  12.11  19.31        48.70
  1   545   954  1385  1229       4113   3.73  10.71   9.99  16.26        40.70
  2   543   949  1384  4838       7714   3.57  11.13  12.51  37.26        64.48
  3   540   930  1375  3483       6328   3.34   8.82  10.63  25.44        48.23
  4    96   910 11991  1078      14075   0.63   7.36  75.65   9.21        92.86
  5    51   977   588  1096       2712   0.60   8.01   4.51   8.95        22.07
  6    17   880   520  1048       2465   0.12   6.34   4.56   9.22        20.25
  7    17   841    77   967       1902   0.56   6.70   0.54   9.01        16.81
  8    61   119    91   899       1170   1.23   2.51   2.05   6.48        12.27
  9    17    67    43   883       1010   0.47   1.37   0.85   5.41         8.10
 10     1     9    18   843        871   0.01   0.15   0.57   5.20         5.93
 11     1     8    19   142        170   0.03   0.21   0.45   2.34         3.02
 12    84     8   523    11        626   0.68   0.18   3.65   0.07         4.57
 13   296   735   969     4       2004   1.81   4.94   7.59   0.02        14.37
 14   731  1453  1062   380       3626   5.03  11.47  10.42   2.40        29.32
 15   911  1534  1364  1169       4978   7.04  14.03  12.54   9.07        42.68
 16   904  1599  2091  1201       5795   7.13  15.29  19.64  11.58        53.64
 17   915  1608  2247  1449       6219   7.53  16.35  19.17  16.18        59.23
 18   896  1644  2683  1583       6806   6.49  17.35  19.99  16.88        60.71
 19   893  1620  2748  1606       6867   6.37  18.27  24.84  16.60        66.08
 20   907  1613  2422  1648       6590   6.71  14.43  20.74  17.66        59.54
 21   898  1581  2413  1651       6543   7.07  13.86  20.75  15.86        57.54
 22   896  1531  2275  1583       6285   6.24  10.87  18.61  13.93        49.66
 23   829   902  2320  1442       5493   5.15   6.88  16.88  13.42        42.33
 24   736   702  1270  1389       4097   4.70   5.11  10.30  14.97        35.08
  1   733   680  1118  1396       3927   4.89   4.46   8.11  14.04        31.50
  2   743   680   881  1380       3684   5.59   4.65   6.26  11.37        27.88
  3   633   663   596  1326       3218   4.95   4.10   4.93  10.43        24.42
  4   138   635   467  1303       2543   1.96   3.95   3.39   9.35        18.64
  5    77   631   448  1285       2441   1.41   4.27   2.91  10.14        18.73
  6    15   645    65  1238       1963   0.25   4.31   0.50   9.05        14.11
  7    13   627    23  1233       1896   0.12   5.31   0.19   8.35        13.96
  8    54   238    98  1102       1492   1.22   2.91   1.98   8.71        14.81
  9    11    55    21  1052       1139   0.28   1.21   0.46   6.83         8.77
 10     2     3     8  1049       1062   0.01   0.13   0.12   6.46         6.71
 11     4     6     4   173        187   0.03   0.06   0.07   3.00         3.16
 12    19     3    51     7         80   0.12   1.03   0.32   0.04         1.51
 13    78    99   760     4        941   0.48   0.97   4.65   0.02         6.12
 14   173   605  1010    35       1823   1.06   3.71   6.38   0.24        11.39
 15   594   990  1007    31       2622   3.65   6.92   7.07   1.07        18.71
 16   645   992  1068   966       3671   4.33   6.85   7.80  10.21        29.18
 17   646  1024  1080  1120       3870   4.15   8.54  10.16  10.76        33.61
 18   653  1051  1089  1233       4026   4.04   8.55   8.14  11.59        32.32
 19   662  1085  1105  1276       4128   4.10  10.71   7.85  13.87        36.54
