202-523     324     816      93      54     128     172     265    1309     979           1           1           1           0WASH      44    50.391662000.60834000236
202-245      52     131      15       9      20      27      42     233     154           1           1           1           0WASH      38    50.886211000.11383700236
301-443       5      13       2       1       2       3       4      26      15           1           0           1           0BETH      34    40.986626000.01337400236
312-353     181     457      52      30      69      92     142     923     524           1           1           1           0CHIC      33    40.529262000.47074300358
214-767     194     489      56      32      73      98     152    1008     559           1           1           1           0DALL      33    40.483399000.51762400552
206-442     153     387      45      26      58      78     120     801     442           1           1           1           0SEAT      32    40.587435000.41256500674
212-264     173     438      50      29      65      87     134     937     496           1           1           1           0NY        31    40.512693000.48730700132
415-556     171     432      49      28      64      86     132     947     486           1           1           1           0SANF      30    40.502189000.49782600722
404-331     158     399      46      26      59      80     121     877     448           1           1           1           0ATLA      30    40.539067000.46093300438
205-221     160     403      46      26      59      80     121     932     448           1           1           1           0JASPER    29    40.502065000.49793500476
215-597     169     426      48      28      61      81     126    1060     465           1           1           1           0PHIL      27    40.423704000.57629600   
617-223     141     357      41      23      51      67     105     913     386           1           1           1           0BOST      26    40.500090000.49991000128
202-357     176     443      51      29      62      83     128    1197     471           1           1           1           0WASH      25    40.335009000.66499100236
301-469       4       9       1       1       1       2       3      24       9           0           0           0           0BETH      25    40.986585000.01341500236
202-822     131     329      38      22      46      61      96     895     349           1           1           1           0WASH      25    40.500990000.49901000236
505-844      75     190      22      12      26      35      54     528     199           1           1           1           0ALBU      24    40.703737000.29628400664
213-894     164     413      47      27      57      74     118    1152     434           1           1           1           0LOSA      24    40.352960000.64704000730
202-426       9      23       3       1       3       4       6      63      24           1           1           1           0WASH      24    40.964510000.03549000236
303-236      93     236      27      15      32      43      67     671     246           1           1           1           0DENV      24    40.627048000.37683900656
503-221      88     222      25      15      30      40      62     649     230           1           1           1           0PORTLAN   23    40.633030000.36697000672
303-844      72     181      21      12      25      33      51     530     188           1           1           1           0DENV      23    40.700000000.30000000656
404-347      84     212      24      14      29      38      59     634     217           1           1           1           0ATLA      22    40.638994000.36100500438
313-226     131     331      38      22      44      59      92    1010     337           1           1           1           0DETR      22    40.424537000.57546300340
816-926     158     397      45      26      53      72     108    1228     402           1           1           1           0KANS      22    40.295563000.70443700524
402-221      79     199      23      13      27      35      55     627     200           1           1           1           0OMAH      21    40.643066000.35983600644
202-453      52     132      15       9      17      23      35     418     132           1           1           1           0WASH      21    40.759959000.24004100236
816-374     214     539      62      36      70      96     147    1730     537           1           1           1           0KANS      21    40.000000001.00000000524
301-962      86     217      25      15      28      39      59     697     216           1           1           1           0BALT      21    40.598429000.40304000238
504-589     112     282      33      18      37      50      77     909     281           1           1           1           0NEWORLE   21    30.474864000.52542700490
804-441     208     524      60      34      67      90     141    1730     517           1           1           1           0NORF      21    30.000000001.00000000252
415-974     118     297      34      19      38      52      79     987     291           1           1           1           0SANF      20    30.427340000.57266000722
205-895     103     260      29      17      34      46      68     869     255           1           1           1           0HUNTSVI   20    30.493608000.50639200477
505-766      48     122      14       8      16      21      32     406     119           1           1           1           0ALBU      20    30.763363000.23663700664
904-791     201     508      58      34      64      86     134    1717     495           1           1           1           0JACKSVL   20    30.000000001.00000000452
615-251      91     230      26      15      29      38      60     791     224           1           1           1           0NASHVIL   20    30.539071000.46092900474
216-522     125     315      36      21      40      52      83    1081     305           1           1           1           0CLEV      20    30.370144000.62985600320
405-231      62     156      18      10      20      26      40     539     151           1           1           1           0OKLA      20    30.684772000.31522800536
202-835     196     494      56      32      62      83     128    1711     478           1           1           1           0WASH      20    30.000000001.00000000236
801-524     194     490      56      32      62      83     128    1704     473           1           1           1           0SALT      20    30.000000001.00000000660
217-492      82     207      24      14      26      35      54     720     200           1           1           1           0SPRINGF   20    30.577302000.42269800374
703-265      93     234      27      15      29      40      62     821     225           1           1           1           0ROANOKE   19    30.520115000.48181800244
314-374      98     248      29      16      31      42      65     868     238           1           1           1           0GRAVOIS   19    30.490581000.50966100520
215-596      86     217      25      15      28      36      55     775     207           1           1           1           0PHIL      19    30.545222000.45477800228
512-482     101     257      29      17      32      43      66     920     244           1           1           1           0AUST      19    30.461084000.53987200558
703-875      27      68       8       4       8      11      17     243      65           1           1           1           0ALEX      19    30.857194000.14280600236
503-231       4      10       1       1       1       2       2      34       9           0           0           0           0PORTLAN   19    30.979947000.02005300672
202-724     184     463      53      30      58      75     119    1665     441           1           1           1           0WASH      19    30.022799000.97720100236
703-288      50     125      14       8      16      20      32     451     119           1           1           1           0ARLI      19    30.735576000.26442400236
619-293     120     302      35      20      38      49      78    1088     288           1           1           1           0SAN DIE   19    30.359605000.64049000732
916-978     186     470      54      31      58      77     122    1698     445           1           1           1           0SACR      19    30.000000001.00000000726
512-229      91     229      26      15      29      38      57     843     215           1           1           1           0SANANTO   19    30.503505000.49825900566
202-272      74     187      21      12      23      32      47     692     175           1           1           1           0WASH      19    30.590666000.40933400236
202-639     151     381      43      25      47      64      96    1410     357           1           1           1           0WASH      19    30.166222000.83377800236
208-334      35      89      10       6      11      15      22     329      83           1           1           1           0BOIS      19    30.805598000.19440200652
513-684      69     175      20      12      21      30      44     649     163           1           1           1           0CINCINN   18    30.620260000.38370800922
205-690      54     136      16       9      16      22      35     507     127           1           1           1           0MOBILE    18    30.700000000.30000000480
412-644      90     227      26      15      27      37      58     853     211           1           1           1           0PITT      18    30.495849000.50415100234
714-643     129     326      37      22      39      51      81    1226     302           1           1           1           0SADLEBK   18    30.272610000.72738900730
601-960      83     210      24      14      25      33      53     793     195           1           1           1           0JACKSON   18    30.529364000.47063500482
201-645     145     367      42      24      44      58      92    1388     339           1           1           1           0NEWA      18    30.176330000.82367000224
301-652       4      11       1       1       1       2       3      41      10           0           0           0           0BETH      18    30.975490000.02451000236
509-456      55     138      16       9      17      22      35     525     128           1           1           1           0SPOK      18    30.688289000.31171100676
901-521     176     444      50      29      54      70     109    1685     409           1           1           1           0MEMPHIS   18    30.000000001.00000000468
602-261      84     212      24      14      26      34      53     810     195           1           1           1           0PHOE      18    30.519838000.48225400666
713-229      82     205      23      13      25      33      51     788     188           1           1           1           0HOUS      18    30.532916000.46960900560
801-625     173     437      50      28      53      70     109    1679     401           1           1           1           0OGDEN M   18    30.000000001.00000000660
602-792      84     213      24      14      26      34      53     819     196           1           1           1           0TUCSON    18    30.512316000.48768400668
202-252      43     110      13       7      13      18      27     422     100           1           1           1           0WASH      18    30.748786000.25121400236
404-763      18      46       5       3       5       7      11     177      42           1           1           1           0ATLA      18    30.894708000.10529200438
718-917      48     120      14       8      14      19      30     466     110           1           1           1           0NY1       18    30.722368000.27763200132
716-846     120     303      35      20      36      49      77    1182     277           1           1           1           0BUFF      18    30.296006000.70399400140
702-388      88     222      25      14      26      36      55     866     202           1           1           1           0LAS VEG   18    30.486650000.51550500721
602-241      65     163      19      11      19      27      40     639     148           1           1           1           0PHOE      18    30.619289000.38071600666
301-420       2       5       1       0       1       1       1      18       4           0           0           0           0BETH      18    30.989297000.01070300236
614-469      84     211      24      14      25      33      53     833     191           1           1           1           0COLUMBU   18    30.504139000.49600600324
408-291     130     330      37      22      40      52      79    1303     299           1           1           1           0PALO      18    30.223704000.77629600722
813-893     168     424      48      28      51      67     102    1679     384           1           1           1           0STPETER   18    30.000000001.00000000952
406-657      20      50       6       3       6       8      12     199      46           1           1           1           0BILLING   18    30.880802000.11919800650
414-291      87     220      25      15      26      35      53     872     199           1           1           1           0MILW      17    30.478485000.52177700356
406-449      67     170      20      11      20      26      42     681     152           1           1           1           0HELENA    17    30.591328000.40867200648
305-648      68     172      20      11      20      27      42     693     154           1           1           1           0ORLA      17    30.584101000.41589900458
518-472      85     216      25      14      25      33      53     867     193           1           1           1           0ALBANY    17    30.479371000.52062900134
804-771     164     413      47      27      48      64     102    1666     369           1           1           1           0RICHMON   17    30.000000001.00000000248
602-122      15      39       4       2       0       0       0       0       0           0           0           0           0PHOE       6    20.459995000.54000500666
