202-523     387     508     436     169     353    1513    2533    9246    2138           1           1           1           0WASH      68   132360.391662000.60834000
202-245     734     963     826     321     664    2847    4764   18493    4023           1           1           2           0WASH      58   122360.886211000.11383700
301-443     686     901     772     300     616    2636    4414   18347    3726           1           1           2           0BETH      50   102360.986626000.01337400
312-353     357     469     402     156     319    1369    2293    9656    1936           1           1           1           0CHIC      49   103580.529262000.47074300
214-767     316     415     355     138     281    1209    2024    8640    1708           1           1           1           0DALL      47   105520.483399000.51762400
206-442     381     500     429     167     340    1459    2442   10454    2061           1           1           1           0SEAT      47   106740.587435000.41256500
212-264     315     413     355     137     280    1201    2011    8825    1698           1           1           1           0NY        45   101320.512693000.48730700
415-556     295     388     332     129     262    1123    1880    8419    1587           1           1           1           0SANF      43    97220.502189000.49782600
404-331     316     415     356     138     280    1201    2011    9020    1699           1           1           1           0ATLA      43    94380.539067000.46093300
205-221     271     355     305     118     238    1025    1714    8003    1447           1           1           1           0JASPER    40    94760.502065000.49793500
215-597     204     268     230      89     178     765    1280    6331    1080           1           1           1           0PHIL      37    82280.423704000.57629600
617-223     230     302     258     101     200     856    1434    7280    1211           1           1           1           0BOST      35    81280.500090000.49991000
202-224     458     601     515     200     397    1709    2858   14532    2413           1           1           1           0WASH      35    82361.000000000.00000000
202-357     140     184     158      61     121     519     868    4645     733           1           1           1           0WASH      33    82360.335009000.66499100
301-469     407     535     458     178     350    1503    2520   13585    2126           1           1           1           0BETH      32    82360.986585000.01341500
202-822     207     272     232      90     178     763    1280    6896    1080           1           1           1           0WASH      32    82360.500990000.49901000
505-844     279     366     314     122     239    1025    1716    9488    1449           1           1           1           0ALBU      31    76640.703737000.29628400
213-894     139     183     157      61     120     512     857    4750     724           1           1           1           0LOSA      31    77300.352960000.64704000
202-426     378     498     426     166     324    1392    2330   12949    1968           1           1           1           0WASH      31    72360.964510000.03549000
303-236     241     317     272     105     207     883    1481    8330    1250           1           1           1           0DENV      31    76560.627048000.37683900
817-334     367     482     413     160     312    1338    2240   12983    1892           1           1           1           0FORT WO   30    75521.000000000.00000000
503-221     232     305     261     101     198     847    1418    8219    1197           1           1           1           0PORTLAN   30    76720.633030000.36697000
303-844     256     337     288     112     217     937    1566    9079    1322           1           1           1           0DENV      29    76560.700000000.30000000
