SAN FRANCISCO
-------------
 
DATE
----
871129
871130
871201
871202
871203
871204
871205
871206
871207
871208
871209
871210
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
 --    -----    -----           ------    -----    -----           ------
  1     3917     1502             5419    25.89    10.56            36.45
  2     3918     1496             5414    29.29    10.39            39.68
  3     3842     1456             5298    26.05     9.28            35.33
  4     3037     1404             4441    19.51     8.81            28.32
  5     2615      987             3602    17.12     6.58            23.70
  6     2607      758             3365    18.69     4.90            23.58
  7     2516      552             3068    16.90     3.56            20.46
  8     2522      599             3121    17.05     5.49            22.53
  9     1373      343             1716    12.87     2.78            15.65
 10     1282       19             1301    11.36     0.18            11.54
 11      189       19              208     1.95     0.34             2.28
 12      770      149              919     4.72     1.05             5.77
 13      888      531             1419     5.53     3.53             9.06
 14      897      532             1429     5.66     3.58             9.24
 15      920      526             1446     5.99     4.05            10.04
 16      969      528             1497     6.62     4.44            11.06
 17     1003      600             1603     7.05     4.66            11.71
 18     1785      635             2420    12.56     4.60            17.16
 19     2114      666             2780    14.89     4.38            19.27
 20     2152      692             2844    14.93     4.83            19.77
 21     2134      686             2820    15.84     4.66            20.50
 22     2147      676             2823    16.78     4.59            21.37
 23     2127      668             2795    16.43     4.66            21.09
 24     2091      652             2743    16.00     4.27            20.27
  1     1056      601             1657     7.78     3.90            11.69
  2      995      579             1574     8.04     4.39            12.43
  3     1001      555             1556     9.32     3.63            12.95
  4      964      541             1505     9.40     3.65            13.05
  5      969      575             1544     9.87     4.57            14.44
  6      983      432             1415     7.86     3.82            11.68
  7      916      213             1129     6.42     2.28             8.70
  8      152       92              244     2.31     2.89             5.21
  9      234       17              251     4.45     1.35             5.79
 10      217       34              251     4.63     0.27             4.90
 11       73       11               84     1.22     0.21             1.42
 12       37      459              496     1.18     3.41             4.59
 13       88      497              585     6.13     5.98            12.11
 14      406      799             1205    26.86    14.88            41.74
 15      941     1255             2196    68.81    24.33            93.14
 16     1052     1374             2426    71.76    27.26            99.01
 17     1010     1436             2446    69.08    29.11            98.19
 18      888     1400             2288    49.15    18.91            68.06
 19      536     1325             1861    39.39    19.35            58.74
 20     1312     1635             2947    74.79    38.41           113.20
 21     1207     1524             2731    98.10    43.68           141.78
 22     1237     1514             2751    97.77    42.94           140.72
 23      856      952             1808    82.49    27.90           110.39
 24      599      510             1109    41.67    10.38            52.05
  1      479       98              577    18.43     3.05            21.48
  2     1191       85             1276    15.46     1.91            17.37
  3     1138       53             1191    12.16     1.22            13.39
  4      792       75              867     8.95     1.16            10.11
  5      793       65              858     8.54     1.54            10.08
  6      820       47              867     8.44     0.53             8.97
  7      658       45              703     5.98     0.34             6.32
  8      520      102              622     5.03     1.77             6.81
  9      739       28              767     8.83     0.32             9.15
 10      745        5              750     8.37     0.06             8.42
 11      593       10              603     4.78     0.07             4.85
 12      906      109             1015     6.84     1.76             8.60
 13     1243      752             1995    12.35     8.82            21.17
 14     1866      938             2804    34.32    20.16            54.48
 15     2669     1916             4585    83.18    33.50           116.69
 16     2972     2077             5049    91.22    37.87           129.08
 17     3046     2045             5091    85.37    34.09           119.46
 18     2980     1911             4891    72.05    25.20            97.26
 19     2821     1732             4553    63.72    24.61            88.34
 20     2957     1323             4280    67.75    27.10            94.85
 21     3014     1376             4390    76.90    29.39           106.30
 22     3015     1408             4423    80.79    33.83           114.62
 23     2888     1160             4048    74.12    22.90            97.02
 24     2524      551             3075    48.95     9.76            58.71
  1     2207      345             2552    26.47     6.98            33.45
  2     2142      305             2447    20.64     5.12            25.76
  3     2091      268             2359    20.25     4.24            24.49
  4     1414      249             1663    12.41     4.45            16.85
  5     1355      283             1638    11.79     4.92            16.71
  6     1402      255             1657    12.43     3.69            16.12
  7     1315      232             1547     9.27     3.07            12.34
  8     1043      289             1332     7.64     4.12            11.76
  9      686       91              777     7.11     0.98             8.09
 10      767        7              774     7.65     0.09             7.73
 11      881       11              892     6.73     0.28             7.01
 12     1159      362             1521     8.83     3.06            11.89
 13     1199      569             1768     9.95     6.22            16.17
 14     1844      646             2490    27.42    13.42            40.84
 15     3076     1179             4255    75.63    24.66           100.29
 16     3774     1425             5199    97.96    39.51           137.47
 17     3276     1514             4790   108.42    44.19           152.61
 18     3125     1381             4506    94.30    37.22           131.51
 19     2968     1380             4348    76.51    29.53           106.04
 20     3201     1519             4720    91.98    41.89           133.87
 21     7871     1599             9470   123.63    39.32           162.95
 22     3648     1663             5311   109.70    40.38           150.09
 23     3249     1427             4676   101.38    35.63           137.01
 24     2821     1081             3902    53.84    11.87            65.71
  1     2531      875             3406    31.03     8.24            39.27
  2     2428      825             3253    25.15     6.27            31.42
  3     2381      802             3183    20.13     6.03            26.16
  4     1610      776             2386    14.63     5.71            20.34
  5     1386      568             1954    10.94     4.81            15.75
  6     1393      545             1938    11.09     4.54            15.64
  7     1285      402             1687    11.07     3.99            15.06
  8      906      282             1188     8.65     4.73            13.38
  9      751      129              880     8.81     2.79            11.60
 10      748        4              752     7.82     0.14             7.96
 11      603       16              619     4.57     0.32             4.88
 12      580      274              854     5.14     2.50             7.64
 13     1179      614             1793    11.82     5.91            17.73
 14     1780      755             2535    27.26    15.45            42.71
 15     3368     1008             4376    77.56    21.40            98.96
 16     3663      912             4575    92.34    27.84           120.18
 17     4926      918             5844    91.19    26.31           117.50
 18     3632      789             4421    71.86    13.83            85.70
