     APPLE / BT TYMNET   TRAFFIC STATISTICS  -  X.25 HOST 7825


 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 
 
 931107   1     0     0          0.00        0.00        0.00          0.00
 931107   2     0     0          0.00        0.00        0.00          0.00
 931107   3     0     0          0.00        0.00        0.00          0.00
 931107   4     0     0          0.00        0.00        0.00          0.00
 931107   5     0     0          0.00        0.00        0.00          0.00
 931107   6     0     0          0.00        0.00        0.00          0.00
 931107   7     0     0          0.00        0.00        0.00          0.00
 931107   8     0     0          0.00        0.00        0.00          0.00
 931107   9     0     0          0.00        0.00        0.00          0.00
 931107  10     0     0          0.00        0.00        0.00          0.00
 931107  11     0     0          0.00        0.00        0.00          0.00
 931107  12     0     0          0.00        0.00        0.00          0.00
 931107  13     0     0          0.00        0.00        0.00          0.00
 931107  14     0     0          0.00        0.00        0.00          0.00
 931107  15     0     0          0.00        0.00        0.00          0.00
 931107  16     0     0          0.00        0.00        0.00          0.00
 931107  17     0     0          0.00        0.00        0.00          0.00
 931107  18     0     0          0.00        0.00        0.00          0.00
 931107  19     0     0          0.00        0.00        0.00          0.00
 931107  20     0     0          0.00        0.00        0.00          0.00
 931107  21     0     0          0.00        0.00        0.00          0.00
 931107  22     0     0          0.00        0.00        0.00          0.00
 931107  23     0     0          0.00        0.00        0.00          0.00
 931107  24     0     0          0.00        0.00        0.00          0.00
1
 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 
 
 931108   1     0     0          0.00        0.00        0.00          0.00
 931108   2     0     0          0.00        0.00        0.00          0.00
 931108   3     0     0          0.00        0.00        0.00          0.00
 931108   4     0     0          0.00        0.00        0.00          0.00
 931108   5     0     0          0.00        0.00        0.00          0.00
 931108   6     0     0          0.00        0.00        0.00          0.00
 931108   7     0     0          0.00        0.00        0.00          0.00
 931108   8     0     0          0.00        0.00        0.00          0.00
 931108   9     0     0          0.00        0.00        0.00          0.00
 931108  10     0     0          0.00        0.00        0.00          0.00
 931108  11     0     0          0.00        0.00        0.00          0.00
 931108  12     0     0          0.00        0.00        0.00          0.00
 931108  13     0     0          0.00        0.00        0.00          0.00
 931108  14     0     0          0.00        0.00        0.00          0.00
 931108  15     0     0          0.00        0.00        0.00          0.00
 931108  16     0     0          0.00        0.00        0.00          0.00
 931108  17     0     0          0.00        0.00        0.00          0.00
 931108  18     0     0          0.00        0.00        0.00          0.00
 931108  19     0     0          0.00        0.00        0.00          0.00
 931108  20     0     0          0.00        0.00        0.00          0.00
 931108  21     1     1          0.25        0.20        0.45          0.47
 931108  22     2     1          0.25        0.28        0.45          0.98
 931108  23     2     1          0.42        0.42        0.83          0.72
 931108  24     0     0          0.00        0.00        0.00          0.00
1
 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 
 
 931109   1     0     0          0.00        0.00        0.00          0.00
 931109   2     0     0          0.00        0.00        0.00          0.00
 931109   3     0     0          0.00        0.00        0.00          0.00
