1
 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 
 
 940321   1     3     3          0.02        4.48        4.50          3.00
 940321   2     3     3          0.02        4.48        4.50          2.95
 940321   3     2     2          0.00        0.17        0.17          2.00
 940321   4     2     2          0.00        0.17        0.17          2.00
 940321   5     2     2          0.00        0.17        0.17          2.00
 940321   6     2     2          0.00        0.17        0.17          2.00
 940321   7     2     2          0.00        0.17        0.17          2.00
 940321   8     2     2          0.00        0.17        0.17          2.00
 940321   9     2     2          0.00        0.17        0.17          2.00
 940321  10     2     2          0.00        0.17        0.17          2.00
 940321  11     2     2          0.00        0.17        0.17          2.00
 940321  12     2     2          0.00        0.17        0.17          2.00
 940321  13     3     3          0.00       51.18       51.18          2.08
 940321  14    16    11          0.78      196.00      196.03          7.02
 940321  15    23    21          0.57      543.62      544.18         17.78
 940321  16    25    23          1.20      648.82      650.02         22.18
 940321  17    27    24          1.57      609.95      611.02         22.87
 940321  18    26    24          1.07      626.05      627.02         23.23
 940321  19    24    23          0.97      575.03      576.00         22.77
 940321  20    24    24          1.02      596.10      597.12         23.53
 940321  21    25    23          0.97      558.32      559.28         22.77
 940321  22    26    24          0.47      582.02      582.48         19.78
 940321  23    14    14          0.17      275.90      276.07         10.97
 940321  24    10    10          0.17      142.80      142.97          6.45
1
 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 
 
 940322   1     6     6          0.03       45.80       45.83          3.78
 940322   2     3     3          0.00        9.53        9.53          3.00
 940322   3     3     3          0.00        9.53        9.53          3.00
 940322   4     3     3          0.00        9.53        9.53          3.00
 940322   5     3     3          0.00        9.53        9.53          3.00
 940322   6     3     3          0.00        9.53        9.53          3.00
 940322   7     3     3          0.00        9.53        9.53          3.00
 940322   8     3     3          0.00        9.53        9.53          3.00
 940322   9     3     3          0.00        9.53        9.53          3.00
 940322  10     3     3          0.00        9.53        9.53          3.00
 940322  11     3     3          0.00        9.53        9.53          3.00
 940322  12     3     3          0.00        9.53        9.53          3.00
 940322  13     3     3          0.00        9.53        9.53          3.00
 940322  14    14     9          0.83      243.27      243.53          5.32
 940322  15    26    19          2.78      483.40      486.08         15.37
 940322  16    25    22          0.82      559.98      560.80         20.38
 940322  17    23    22          0.82      559.98      560.80         21.98
 940322  18    24    23          0.93      558.82      559.75         22.05
 940322  19    23    23          0.93      558.82      559.75         23.00
 940322  20    23    23          0.93      558.82      559.75         23.00
 940322  21    25    24          1.12      621.73      622.85         23.03
 940322  22    25    22          1.00      573.87      574.87         18.63
 940322  23    16    16          0.28      286.45      286.73         13.42
 940322  24     8     8          0.08      141.08      141.17          7.30
1
 
                   MAX
            TOTAL  SIM                MAXIMUM CPS                   CONNECT
 DATE  HOUR USERS USERS            IN         OUT       TOTAL         HOURS
 
 
 940323   1     7     7          0.07      114.88      114.95          5.07
 940323   2     5     5          0.07       79.38       79.45          5.00
 940323   3     5     5          0.07       79.38       79.45          3.43
 940323   4     3     3          0.02       36.55       36.57          2.17
 940323   5     4     2          1.32       18.83       18.83          0.77
